7.124798339843750000e+03,5.511950492858886719e+00,7.700602054595947266e+00,5.455456256866455078e+00,5.348726562500000000e+03
6.529588378906250000e+03,5.509955883026123047e+00,7.698586463928222656e+00,5.453423976898193359e+00,4.871083984375000000e+03
8.441309814453125000e+02,1.351855516433715820e+00,1.252086043357849121e+00,1.325851559638977051e+00,4.178831481933593750e+02
8.070857543945312500e+02,1.321326613426208496e+00,1.213563084602355957e+00,1.271241426467895508e+00,4.832078170776367188e+01
4.168596801757812500e+02,1.321057081222534180e+00,1.232513666152954102e+00,1.290899991989135742e+00,3.737772521972656250e+02
4.552544555664062500e+02,1.314666748046875000e+00,1.243721604347229004e+00,1.256357312202453613e+00,3.337507629394531250e+02
7.259783325195312500e+02,1.312851667404174805e+00,1.235706329345703125e+00,1.295579791069030762e+00,1.291154022216796875e+02
4.058311767578125000e+02,1.277872323989868164e+00,1.194807171821594238e+00,1.213609814643859863e+00,4.021070861816406250e+02
9.060432128906250000e+02,1.251317977905273438e+00,1.158839464187622070e+00,1.218369126319885254e+00,9.901172637939453125e+01
3.555382080078125000e+02,1.202347993850708008e+00,1.140799045562744141e+00,1.160438179969787598e+00,4.193027343750000000e+02
8.728101196289062500e+02,1.664188146591186523e+00,2.628362655639648438e+00,1.176496148109436035e+00,1.016913909912109375e+02
5.426214599609375000e+02,1.187620878219604492e+00,1.240890026092529297e+00,1.160610795021057129e+00,3.689984130859375000e+02
1.434260406494140625e+02,1.159389138221740723e+00,1.208116650581359863e+00,1.149897933006286621e+00,8.595168457031250000e+02
9.852093505859375000e+02,1.166130900382995605e+00,1.171777963638305664e+00,1.140781521797180176e+00,4.658100509643554688e+01
8.495647583007812500e+02,1.163833379745483398e+00,1.178956866264343262e+00,1.180663585662841797e+00,1.482089691162109375e+02
6.270825805664062500e+02,1.155151009559631348e+00,1.180843830108642578e+00,1.152409195899963379e+00,2.533963928222656250e+02
6.666314697265625000e+02,1.145684719085693359e+00,1.144496202468872070e+00,1.129987835884094238e+00,1.880366516113281250e+02
7.638054199218750000e+02,1.147535800933837891e+00,1.149001240730285645e+00,1.153663158416748047e+00,1.476508178710937500e+02
5.461245727539062500e+02,1.179723501205444336e+00,1.172269225120544434e+00,1.130623102188110352e+00,2.258527069091796875e+02
6.224707641601562500e+02,1.136950969696044922e+00,1.104966878890991211e+00,1.142946004867553711e+00,1.849528198242187500e+02
1.738348083496093750e+02,1.117910623550415039e+00,1.132270932197570801e+00,1.086688041687011719e+00,6.595501708984375000e+02
5.741984252929687500e+02,1.094268679618835449e+00,1.126259565353393555e+00,1.100113987922668457e+00,1.936552429199218750e+02
